2006,Actress in a Supporting Role,0,Abigail Breslin,Little Miss Sunshine
1984,Actor in a Supporting Role,0,Adolph Caesar,A Soldier's Story
1931,Actor in a Leading Role,0,Adolphe Menjou,The Front Page
2006,Actress in a Supporting Role,0,Adriana Barraza,Babel
2002,Actor in a Leading Role,1,Adrien Brody,The Pianist
1964,Actress in a Supporting Role,0,Agnes Moorehead,Hush...Hush  Sweet Charlotte
1948,Actress in a Supporting Role,0,Agnes Moorehead,Johnny Belinda
1944,Actress in a Supporting Role,0,Agnes Moorehead,Mrs. Parkington
1942,Actress in a Supporting Role,0,Agnes Moorehead,The Magnificent Ambersons
1943,Actor in a Supporting Role,0,Akim Tamiroff,For Whom the Bell Tolls
1936,Actor in a Supporting Role,0,Akim Tamiroff,The General Died at Dawn
1992,Actor in a Supporting Role,0,Al Pacino,Glengarry Glen Ross
1992,Actor in a Leading Role,1,Al Pacino,Scent of a Woman
1990,Actor in a Supporting Role,0,Al Pacino,Dick Tracy
1979,Actor in a Leading Role,0,Al Pacino,...And Justice for All
1975,Actor in a Leading Role,0,Al Pacino,Dog Day Afternoon
1974,Actor in a Leading Role,0,Al Pacino,The Godfather Part II
1973,Actor in a Leading Role,0,Al Pacino,Serpico
1972,Actor in a Supporting Role,0,Al Pacino,The Godfather
2004,Actor in a Supporting Role,0,Alan Alda,The Aviator
2012,Actor in a Supporting Role,0,Alan Arkin,Argo
2006,Actor in a Supporting Role,1,Alan Arkin,Little Miss Sunshine
1968,Actor in a Leading Role,0,Alan Arkin,The Heart Is a Lonely Hunter
1966,Actor in a Leading Role,0,Alan Arkin,The Russians Are Coming The Russians Are Coming
1968,Actor in a Leading Role,0,Alan Bates,The Fixer
1940,Actor in a Supporting Role,0,Albert Basserman,Foreign Correspondent
1987,Actor in a Supporting Role,0,Albert Brooks,Broadcast News
2000,Actor in a Supporting Role,0,Albert Finney,Erin Brockovich
1984,Actor in a Leading Role,0,Albert Finney,Under the Volcano
1983,Actor in a Leading Role,0,Albert Finney,The Dresser
1974,Actor in a Leading Role,0,Albert Finney,Murder on the Orient Express
1963,Actor in a Leading Role,0,Albert Finney,Tom Jones
2003,Actor in a Supporting Role,0,Alec Baldwin,The Cooler
1988,Actor in a Supporting Role,0,Alec Guinness,Little Dorrit
1977,Actor in a Supporting Role,0,Alec Guinness,Star Wars
1957,Actor in a Leading Role,1,Alec Guinness,The Bridge on the River Kwai
1952,Actor in a Leading Role,0,Alec Guinness,The Lavender Hill Mob
1944,Actor in a Leading Role,0,Alexander Knox,Wilson
1983,Actress in a Supporting Role,0,Alfre Woodard,Cross Creek
1932,Actor in a Leading Role,0,Alfred Lunt,The Guardsman
1970,Actress in a Leading Role,0,Ali MacGraw,Love Story
1937,Actress in a Supporting Role,1,Alice Brady,In Old Chicago
1936,Actress in a Supporting Role,0,Alice Brady,My Man Godfrey
2015,Actress in a Supporting Role,1,Alicia Vikander,The Danish Girl
1944,Actress in a Supporting Role,0,Aline MacMahon,Dragon Seed
2013,Actress in a Leading Role,0,Amy Adams,American Hustle
2012,Actress in a Supporting Role,0,Amy Adams,The Master
2010,Actress in a Supporting Role,0,Amy Adams,The Fighter
2008,Actress in a Supporting Role,0,Amy Adams,Doubt
2005,Actress in a Supporting Role,0,Amy Adams,Junebug
1983,Actress in a Supporting Role,0,Amy Irving,Yentl
1985,Actress in a Supporting Role,0,Amy Madigan,Twice in a Lifetime
2007,Actress in a Supporting Role,0,Amy Ryan,Gone Baby Gone
1937,Actress in a Supporting Role,0,Andrea Leeds,Stage Door
2016,Actor in a Leading Role,0,Andrew Garfield,Hacksaw Ridge
1990,Actor in a Supporting Role,0,Andy Garcia,The Godfather  Part III
1993,Actress in a Leading Role,0,Angela Bassett,What's Love Got to Do with It
1962,Actress in a Supporting Role,0,Angela Lansbury,The Manchurian Candidate
1945,Actress in a Supporting Role,0,Angela Lansbury,The Picture of Dorian Gray
1944,Actress in a Supporting Role,0,Angela Lansbury,Gaslight
2008,Actress in a Leading Role,0,Angelina Jolie,Changeling
1999,Actress in a Supporting Role,1,Angelina Jolie,Girl  Interrupted
1990,Actress in a Leading Role,0,Anjelica Huston,The Grifters
1989,Actress in a Supporting Role,0,Anjelica Huston,Enemies  A Love Story
1985,Actress in a Supporting Role,1,Anjelica Huston,Prizzi's Honor
1945,Actress in a Supporting Role,0,Ann Blyth,Mildred Pierce
1931,Actress in a Leading Role,0,Ann Harding,Holiday
1987,Actress in a Supporting Role,0,Ann Sothern,The Whales of August
1975,Actress in a Leading Role,0,Ann-Margret,Tommy
1971,Actress in a Supporting Role,0,Ann-Margret,Carnal Knowledge
2009,Actress in a Supporting Role,0,Anna Kendrick,Up in the Air
1957,Actress in a Leading Role,0,Anna Magnani,Wild Is the Wind
1955,Actress in a Leading Role,1,Anna Magnani,The Rose Tattoo
1993,Actress in a Supporting Role,1,Anna Paquin,The Piano
1987,Actress in a Supporting Role,0,Anne Archer,Fatal Attraction
1985,Actress in a Leading Role,0,Anne Bancroft,Agnes of God
1977,Actress in a Leading Role,0,Anne Bancroft,The Turning Point
1967,Actress in a Leading Role,0,Anne Bancroft,The Graduate
1964,Actress in a Leading Role,0,Anne Bancroft,The Pumpkin Eater
1962,Actress in a Leading Role,1,Anne Bancroft,The Miracle Worker
1950,Actress in a Leading Role,0,Anne Baxter,All about Eve
1946,Actress in a Supporting Role,1,Anne Baxter,The Razor's Edge
2012,Actress in a Supporting Role,1,Anne Hathaway,Les Misí©rables
2008,Actress in a Leading Role,0,Anne Hathaway,Rachel Getting Married
1987,Actress in a Supporting Role,0,Anne Ramsey,Throw Momma from the Train
1947,Actress in a Supporting Role,0,Anne Revere,Gentleman's Agreement
1945,Actress in a Supporting Role,1,Anne Revere,National Velvet
1943,Actress in a Supporting Role,0,Anne Revere,The Song of Bernadette
1937,Actress in a Supporting Role,0,Anne Shirley,Stella Dallas
2010,Actress in a Leading Role,0,Annette Bening,The Kids Are All Right
2004,Actress in a Leading Role,0,Annette Bening,Being Julia
1999,Actress in a Leading Role,0,Annette Bening,American Beauty
1990,Actress in a Supporting Role,0,Annette Bening,The Grifters
1966,Actress in a Leading Role,0,Anouk Aimee,A Man and a Woman
1957,Actor in a Leading Role,0,Anthony Franciosa,A Hatful of Rain
1997,Actor in a Supporting Role,0,Anthony Hopkins,Amistad
1995,Actor in a Leading Role,0,Anthony Hopkins,Nixon
1993,Actor in a Leading Role,0,Anthony Hopkins,The Remains of the Day
1991,Actor in a Leading Role,1,Anthony Hopkins,The Silence of the Lambs
1956,Actor in a Supporting Role,0,Anthony Perkins,Friendly Persuasion
1969,Actor in a Supporting Role,0,Anthony Quayle,Anne of the Thousand Days
1964,Actor in a Leading Role,0,Anthony Quinn,Zorba the Greek
1957,Actor in a Leading Role,0,Anthony Quinn,Wild Is the Wind
1956,Actor in a Supporting Role,1,Anthony Quinn,Lust for Life
1952,Actor in a Supporting Role,1,Anthony Quinn,Viva Zapata!
1996,Actor in a Supporting Role,0,Armin Mueller-Stahl,Shine
1974,Actor in a Leading Role,1,Art Carney,Harry and Tonto
1952,Actor in a Supporting Role,0,Arthur Hunnicutt,The Big Sky
1958,Actor in a Supporting Role,0,Arthur Kennedy,Some Came Running
1957,Actor in a Supporting Role,0,Arthur Kennedy,Peyton Place
1955,Actor in a Supporting Role,0,Arthur Kennedy,Trial
1951,Actor in a Leading Role,0,Arthur Kennedy,Bright Victory
1949,Actor in a Supporting Role,0,Arthur Kennedy,Champion
1959,Actor in a Supporting Role,0,Arthur O'Connell,Anatomy of a Murder
1955,Actor in a Supporting Role,0,Arthur O'Connell,Picnic
1967,Actress in a Leading Role,0,Audrey Hepburn,Wait until Dark
1961,Actress in a Leading Role,0,Audrey Hepburn,Breakfast at Tiffany's
1959,Actress in a Leading Role,0,Audrey Hepburn,The Nun's Story
1954,Actress in a Leading Role,0,Audrey Hepburn,Sabrina
1953,Actress in a Leading Role,1,Audrey Hepburn,Roman Holiday
1953,Actress in a Leading Role,0,Ava Gardner,Mogambo
1979,Actress in a Supporting Role,0,Barbara Barrie,Breaking Away
1948,Actress in a Supporting Role,0,Barbara Bel Geddes,I Remember Mama
1971,Actress in a Supporting Role,0,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?
1996,Actress in a Supporting Role,0,Barbara Hershey,The Portrait of a Lady
1940,Actress in a Supporting Role,0,Barbara O'Neil,All This  and Heaven Too
1948,Actress in a Leading Role,0,Barbara Stanwyck,Sorry  Wrong Number
1944,Actress in a Leading Role,0,Barbara Stanwyck,Double Indemnity
1941,Actress in a Leading Role,0,Barbara Stanwyck,Ball of Fire
1937,Actress in a Leading Role,0,Barbara Stanwyck,Stella Dallas
1973,Actress in a Leading Role,0,Barbra Streisand,The Way We Were
1968,Actress in a Leading Role,1,Barbra Streisand,Funny Girl
2013,Actor in a Supporting Role,0,Barkhad Abdi,Captain Phillips
1944,Actor in a Leading Role,0,Barry Fitzgerald,Going My Way
1944,Actor in a Supporting Role,1,Barry Fitzgerald,Going My Way
1938,Actor in a Supporting Role,0,Basil Rathbone,If I Were King
1936,Actor in a Supporting Role,0,Basil Rathbone,Romeo and Juliet
1967,Actress in a Supporting Role,0,Beah Richards,Guess Who's Coming to Dinner
1976,Actress in a Supporting Role,1,Beatrice Straight,Network
1971,Actor in a Supporting Role,1,Ben Johnson,The Last Picture Show
2003,Actor in a Leading Role,0,Ben Kingsley,House of Sand and Fog
2001,Actor in a Supporting Role,0,Ben Kingsley,Sexy Beast
1991,Actor in a Supporting Role,0,Ben Kingsley,Bugsy
1982,Actor in a Leading Role,1,Ben Kingsley,Gandhi
2014,Actor in a Leading Role,0,Benedict Cumberbatch,The Imitation Game
2003,Actor in a Supporting Role,0,Benicio Del Toro,21 Grams
2000,Actor in a Supporting Role,1,Benicio Del Toro,Traffic
1929,Actress in a Leading Role,0,Bessie Love,The Broadway Melody
1955,Actress in a Supporting Role,0,Betsy Blair,Marty
1962,Actress in a Leading Role,0,Bette Davis,What Ever Happened to Baby Jane?
1952,Actress in a Leading Role,0,Bette Davis,The Star
1950,Actress in a Leading Role,0,Bette Davis,All about Eve
1944,Actress in a Leading Role,0,Bette Davis,Mr. Skeffington
1942,Actress in a Leading Role,0,Bette Davis,Now  Voyager
1941,Actress in a Leading Role,0,Bette Davis,The Little Foxes
1940,Actress in a Leading Role,0,Bette Davis,The Letter
1939,Actress in a Leading Role,0,Bette Davis,Dark Victory
1938,Actress in a Leading Role,1,Bette Davis,Jezebel
1935,Actress in a Leading Role,1,Bette Davis,Dangerous
1934,Actress in a Leading Role,0,Bette Davis,Of Human Bondage
1991,Actress in a Leading Role,0,Bette Midler,For the Boys
1979,Actress in a Leading Role,0,Bette Midler,The Rose
1929,Actress in a Leading Role,0,Betty Compson,The Barker
1938,Actress in a Supporting Role,0,Beulah Bondi,Of Human Hearts
1936,Actress in a Supporting Role,0,Beulah Bondi,The Gorgeous Hussy
2003,Actor in a Leading Role,0,Bill Murray,Lost in Translation
1938,Actress in a Supporting Role,0,Billie Burke,Merrily We Live
1998,Actor in a Supporting Role,0,Billy Bob Thornton,A Simple Plan
1996,Actor in a Leading Role,0,Billy Bob Thornton,Sling Blade
1954,Actor in a Leading Role,0,Bing Crosby,The Country Girl
1945,Actor in a Leading Role,0,Bing Crosby,The Bells of St. Mary's
1944,Actor in a Leading Role,1,Bing Crosby,Going My Way
1986,Actor in a Leading Role,0,Bob Hoskins,Mona Lisa
1963,Actor in a Supporting Role,0,Bobby Darin,Captain Newman  M.D.
1936,Actress in a Supporting Role,0,Bonita Granville,These Three
1975,Actor in a Supporting Role,0,Brad Dourif,One Flew over the Cuckoo's Nest
2011,Actor in a Leading Role,0,Brad Pitt,Moneyball
2008,Actor in a Leading Role,0,Brad Pitt,The Curious Case of Benjamin Button
1995,Actor in a Supporting Role,0,Brad Pitt,12 Monkeys
2014,Actor in a Leading Role,0,Bradley Cooper,American Sniper
2013,Actor in a Supporting Role,0,Bradley Cooper,American Hustle
2012,Actor in a Leading Role,0,Bradley Cooper,Silver Linings Playbook
1953,Actor in a Supporting Role,0,Brandon De Wilde,Shane
1998,Actress in a Supporting Role,0,Brenda Blethyn,Little Voice
1996,Actress in a Leading Role,0,Brenda Blethyn,Secrets & Lies
1989,Actress in a Supporting Role,1,Brenda Fricker,My Left Foot
1975,Actress in a Supporting Role,0,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough
1939,Actor in a Supporting Role,0,Brian Aherne,Juarez
1939,Actor in a Supporting Role,0,Brian Donlevy,Beau Geste
2015,Actress in a Leading Role,1,Brie Larson,Room
1949,Actor in a Leading Role,1,Broderick Crawford,All the King's Men
1990,Actor in a Supporting Role,0,Bruce Davison,Longtime Companion
2013,Actor in a Leading Role,0,Bruce Dern,Nebraska
1978,Actor in a Supporting Role,0,Bruce Dern,Coming Home
2015,Actor in a Leading Role,0,Bryan Cranston,Trumbo
1976,Actor in a Supporting Role,0,Burgess Meredith,Rocky
1975,Actor in a Supporting Role,0,Burgess Meredith,The Day of the Locust
1958,Actor in a Supporting Role,1,Burl Ives,The Big Country
1981,Actor in a Leading Role,0,Burt Lancaster,Atlantic City
1962,Actor in a Leading Role,0,Burt Lancaster,Birdman of Alcatraz
1960,Actor in a Leading Role,1,Burt Lancaster,Elmer Gantry
1953,Actor in a Leading Role,0,Burt Lancaster,From Here to Eternity
1997,Actor in a Supporting Role,0,Burt Reynolds,Boogie Nights
1976,Actor in a Supporting Role,0,Burt Young,Rocky
2011,Actress in a Supporting Role,0,Bí©rí©nice Bejo,The Artist
1979,Actress in a Supporting Role,0,Candice Bergen,Starting Over
1973,Actress in a Supporting Role,0,Candy Clark,American Graffiti
1958,Actress in a Supporting Role,0,Cara Williams,The Defiant Ones
2009,Actress in a Leading Role,0,Carey Mulligan,An Education
1967,Actress in a Supporting Role,0,Carol Channing,Thoroughly Modern Millie
1975,Actress in a Leading Role,0,Carol Kane,Hester Street
1936,Actress in a Leading Role,0,Carole Lombard,My Man Godfrey
1957,Actress in a Supporting Role,0,Carolyn Jones,The Bachelor Party
1970,Actress in a Leading Role,0,Carrie Snodgress,Diary of a Mad Housewife
1956,Actress in a Leading Role,0,Carroll Baker,Baby Doll
1944,Actor in a Leading Role,0,Cary Grant,None but the Lonely Heart
1941,Actor in a Leading Role,0,Cary Grant,Penny Serenade
2016,Actor in a Leading Role,0,Casey Affleck,Manchester by the Sea
2007,Actor in a Supporting Role,0,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford
2004,Actress in a Leading Role,0,Catalina Sandino Moreno,Maria Full of Grace
2015,Actress in a Leading Role,0,Cate Blanchett,Carol
2013,Actress in a Leading Role,1,Cate Blanchett,Blue Jasmine
2007,Actress in a Supporting Role,0,Cate Blanchett,I'm Not There
2007,Actress in a Leading Role,0,Cate Blanchett,Elizabeth: The Golden Age
2006,Actress in a Supporting Role,0,Cate Blanchett,Notes on a Scandal
2004,Actress in a Supporting Role,1,Cate Blanchett,The Aviator
1998,Actress in a Leading Role,0,Cate Blanchett,Elizabeth
1969,Actress in a Supporting Role,0,Catherine Burns,Last Summer
1992,Actress in a Leading Role,0,Catherine Deneuve,Indochine
2005,Actress in a Supporting Role,0,Catherine Keener,Capote
1999,Actress in a Supporting Role,0,Catherine Keener,Being John Malkovich
2002,Actress in a Supporting Role,1,Catherine Zeta-Jones,Chicago
1980,Actress in a Supporting Role,0,Cathy Moriarty,Raging Bull
1967,Actor in a Supporting Role,0,Cecil Kellaway,Guess Who's Coming to Dinner
1948,Actor in a Supporting Role,0,Cecil Kellaway,The Luck of the Irish
1950,Actress in a Supporting Role,0,Celeste Holm,All about Eve
1949,Actress in a Supporting Role,0,Celeste Holm,Come to the Stable
1947,Actress in a Supporting Role,1,Celeste Holm,Gentleman's Agreement
1946,Actress in a Leading Role,0,Celia Johnson,Brief Encounter
1948,Actor in a Supporting Role,0,Charles Bickford,Johnny Belinda
1947,Actor in a Supporting Role,0,Charles Bickford,The Farmer's Daughter
1943,Actor in a Supporting Role,0,Charles Bickford,The Song of Bernadette
1961,Actor in a Leading Role,0,Charles Boyer,Fanny
1944,Actor in a Leading Role,0,Charles Boyer,Gaslight
1938,Actor in a Leading Role,0,Charles Boyer,Algiers
1937,Actor in a Leading Role,0,Charles Boyer,Conquest
1940,Actor in a Leading Role,0,Charles Chaplin,The Great Dictator
1946,Actor in a Supporting Role,0,Charles Coburn,The Green Years
1943,Actor in a Supporting Role,1,Charles Coburn,The More the Merrier
1941,Actor in a Supporting Role,0,Charles Coburn,The Devil and Miss Jones
1983,Actor in a Supporting Role,0,Charles Durning,To Be or Not to Be
1982,Actor in a Supporting Role,0,Charles Durning,The Best Little Whorehouse in Texas
1957,Actor in a Leading Role,0,Charles Laughton,Witness for the Prosecution
1935,Actor in a Leading Role,0,Charles Laughton,Mutiny on the Bounty
1933,Actor in a Leading Role,1,Charles Laughton,The Private Life of Henry VIII
2005,Actress in a Leading Role,0,Charlize Theron,North Country
2003,Actress in a Leading Role,1,Charlize Theron,Monster
2015,Actress in a Leading Role,0,Charlotte Rampling,45 Years
1959,Actor in a Leading Role,1,Charlton Heston,Ben-Hur
1994,Actor in a Supporting Role,0,Chazz Palminteri,Bullets over Broadway
1987,Actress in a Leading Role,1,Cher,Moonstruck
1983,Actress in a Supporting Role,0,Cher,Silkwood
1929,Actor in a Leading Role,0,Chester Morris,Alibi
1970,Actor in a Supporting Role,0,Chief Dan George,Little Big Man
1960,Actor in a Supporting Role,0,Chill Wills,The Alamo
2013,Actor in a Leading Role,0,Chiwetel Ejiofor,12 Years a Slave
1999,Actress in a Supporting Role,0,Chloí Sevigny,Boys Don't Cry
2002,Actor in a Supporting Role,1,Chris Cooper,Adaptation
1975,Actor in a Supporting Role,0,Chris Sarandon,Dog Day Afternoon
2015,Actor in a Supporting Role,0,Christian Bale,The Big Short
2013,Actor in a Leading Role,0,Christian Bale,American Hustle
2010,Actor in a Supporting Role,1,Christian Bale,The Fighter
1984,Actress in a Supporting Role,0,Christine Lahti,Swing Shift
2012,Actor in a Supporting Role,1,Christoph Waltz,Django Unchained
2009,Actor in a Supporting Role,1,Christoph Waltz,Inglourious Basterds
2011,Actor in a Supporting Role,1,Christopher Plummer,Beginners
2009,Actor in a Supporting Role,0,Christopher Plummer,The Last Station
2002,Actor in a Supporting Role,0,Christopher Walken,Catch Me If You Can
1978,Actor in a Supporting Role,1,Christopher Walken,The Deer Hunter
1972,Actress in a Leading Role,0,Cicely Tyson,Sounder
1954,Actress in a Supporting Role,0,Claire Trevor,The High and the Mighty
1948,Actress in a Supporting Role,1,Claire Trevor,Key Largo
1937,Actress in a Supporting Role,0,Claire Trevor,Dead End
1939,Actor in a Leading Role,0,Clark Gable,Gone with the Wind
1935,Actor in a Leading Role,0,Clark Gable,Mutiny on the Bounty
1934,Actor in a Leading Role,1,Clark Gable,It Happened One Night
1946,Actor in a Supporting Role,0,Claude Rains,Notorious
1944,Actor in a Supporting Role,0,Claude Rains,Mr. Skeffington
1943,Actor in a Supporting Role,0,Claude Rains,Casablanca
1939,Actor in a Supporting Role,0,Claude Rains,Mr. Smith Goes to Washington
1944,Actress in a Leading Role,0,Claudette Colbert,Since You Went Away
1935,Actress in a Leading Role,0,Claudette Colbert,Private Worlds
1934,Actress in a Leading Role,1,Claudette Colbert,It Happened One Night
1968,Actor in a Leading Role,1,Cliff Robertson,Charly
1948,Actor in a Leading Role,0,Clifton Webb,Sitting Pretty
1946,Actor in a Supporting Role,0,Clifton Webb,The Razor's Edge
1944,Actor in a Supporting Role,0,Clifton Webb,Laura
2004,Actor in a Leading Role,0,Clint Eastwood,Million Dollar Baby
1992,Actor in a Leading Role,0,Clint Eastwood,Unforgiven
2004,Actor in a Supporting Role,0,Clive Owen,Closer
1971,Actress in a Supporting Role,1,Cloris Leachman,The Last Picture Show
1952,Actress in a Supporting Role,0,Colette Marchand,Moulin Rouge
2010,Actor in a Leading Role,1,Colin Firth,The King's Speech
2009,Actor in a Leading Role,0,Colin Firth,A Single Man
1929,Actress in a Leading Role,0,Corinne Griffith,The Divine Lady
1945,Actor in a Leading Role,0,Cornel Wilde,A Song to Remember
1996,Actor in a Supporting Role,1,Cuba Gooding Jr.,Jerry Maguire
1967,Actress in a Leading Role,0,Dame Edith Evans,The Whisperers
1964,Actress in a Supporting Role,0,Dame Edith Evans,The Chalk Garden
1963,Actress in a Supporting Role,0,Dame Edith Evans,Tom Jones
1942,Actress in a Supporting Role,0,Dame May Whitty,Mrs. Miniver
1937,Actress in a Supporting Role,0,Dame May Whitty,Night Must Fall
1989,Actor in a Supporting Role,0,Dan Aykroyd,Driving Miss Daisy
1948,Actor in a Leading Role,0,Dan Dailey,When My Baby Smiles at Me
1954,Actor in a Leading Role,0,Dan O'Herlihy,Adventures of Robinson Crusoe
1989,Actor in a Leading Role,1,Daniel Day Lewis,My Left Foot
2012,Actor in a Leading Role,1,Daniel Day-Lewis,Lincoln
2007,Actor in a Leading Role,1,Daniel Day-Lewis,There Will Be Blood
2002,Actor in a Leading Role,0,Daniel Day-Lewis,Gangs of New York
1993,Actor in a Leading Role,0,Daniel Day-Lewis,In the Name of the Father
1968,Actor in a Supporting Role,0,Daniel Massey,Star!
1989,Actor in a Supporting Role,0,Danny Aiello,Do the Right Thing
1958,Actor in a Leading Role,1,David Niven,Separate Tables
1992,Actor in a Supporting Role,0,David Paymer,Mr. Saturday Night
2005,Actor in a Leading Role,0,David Strathairn,Good Night  and Good Luck.
1949,Actor in a Supporting Role,1,Dean Jagger,Twelve O'Clock High
1988,Actor in a Supporting Role,0,Dean Stockwell,Married to the Mob
1964,Actress in a Leading Role,0,Debbie Reynolds,The Unsinkable Molly Brown
1960,Actress in a Leading Role,0,Deborah Kerr,The Sundowners
1958,Actress in a Leading Role,0,Deborah Kerr,Separate Tables
1957,Actress in a Leading Role,0,Deborah Kerr,Heaven Knows  Mr. Allison
1956,Actress in a Leading Role,0,Deborah Kerr,The King and I
1953,Actress in a Leading Role,0,Deborah Kerr,From Here to Eternity
1949,Actress in a Leading Role,0,Deborah Kerr,Edward  My Son
1993,Actress in a Leading Role,0,Debra Winger,Shadowlands
1983,Actress in a Leading Role,0,Debra Winger,Terms of Endearment
1982,Actress in a Leading Role,0,Debra Winger,An Officer and a Gentleman
2011,Actor in a Leading Role,0,Demiíçn Bichir,A Better Life
1986,Actor in a Supporting Role,0,Denholm Elliott,A Room with a View
1986,Actor in a Supporting Role,0,Dennis Hopper,Hoosiers
2016,Actor in a Leading Role,0,Denzel Washington,Fences
2012,Actor in a Leading Role,0,Denzel Washington,Flight
2001,Actor in a Leading Role,1,Denzel Washington,Training Day
1999,Actor in a Leading Role,0,Denzel Washington,The Hurricane
1992,Actor in a Leading Role,0,Denzel Washington,Malcolm X
1989,Actor in a Supporting Role,1,Denzel Washington,Glory
1987,Actor in a Supporting Role,0,Denzel Washington,Cry Freedom
2016,Actor in a Supporting Role,0,Dev Patel,Lion
1986,Actor in a Leading Role,0,Dexter Gordon,'Round Midnight
1974,Actress in a Leading Role,0,Diahann Carroll,Claudine
1972,Actress in a Leading Role,0,Diana Ross,Lady Sings the Blues
1980,Actress in a Supporting Role,0,Diana Scarwid,Inside Moves
1933,Actress in a Leading Role,0,Diana Wynyard,Cavalcade
1963,Actress in a Supporting Role,0,Diane Cilento,Tom Jones
2003,Actress in a Leading Role,0,Diane Keaton,Something's Gotta Give
1996,Actress in a Leading Role,0,Diane Keaton,Marvin's Room
1981,Actress in a Leading Role,0,Diane Keaton,Reds
1977,Actress in a Leading Role,1,Diane Keaton,Annie Hall
1991,Actress in a Supporting Role,0,Diane Ladd,Rambling Rose
1990,Actress in a Supporting Role,0,Diane Ladd,Wild at Heart
1974,Actress in a Supporting Role,0,Diane Ladd,Alice Doesn't Live Here Anymore
2002,Actress in a Leading Role,0,Diane Lane,Unfaithful
1957,Actress in a Supporting Role,0,Diane Varsi,Peyton Place
1994,Actress in a Supporting Role,1,Dianne Wiest,Bullets over Broadway
1989,Actress in a Supporting Role,0,Dianne Wiest,Parenthood
1986,Actress in a Supporting Role,1,Dianne Wiest,Hannah and Her Sisters
2006,Actor in a Supporting Role,0,Djimon Hounsou,Blood Diamond
2003,Actor in a Supporting Role,0,Djimon Hounsou,In America
1985,Actor in a Supporting Role,1,Don Ameche,Cocoon
2004,Actor in a Leading Role,0,Don Cheadle,Hotel Rwanda
1956,Actor in a Supporting Role,0,Don Murray,Bus Stop
1941,Actor in a Supporting Role,1,Donald Crisp,How Green Was My Valley
1953,Actress in a Supporting Role,1,Donna Reed,From Here to Eternity
1959,Actress in a Leading Role,0,Doris Day,Pillow Talk
1954,Actress in a Leading Role,0,Dorothy Dandridge,Carmen Jones
1956,Actress in a Supporting Role,1,Dorothy Malone,Written on the Wind
1947,Actress in a Leading Role,0,Dorothy McGuire,Gentleman's Agreement
1981,Actor in a Leading Role,0,Dudley Moore,Arthur
1997,Actor in a Leading Role,0,Dustin Hoffman,Wag the Dog
1988,Actor in a Leading Role,1,Dustin Hoffman,Rain Man
1982,Actor in a Leading Role,0,Dustin Hoffman,Tootsie
1979,Actor in a Leading Role,1,Dustin Hoffman,Kramer vs. Kramer
1974,Actor in a Leading Role,0,Dustin Hoffman,Lenny
1969,Actor in a Leading Role,0,Dustin Hoffman,Midnight Cowboy
1967,Actor in a Leading Role,0,Dustin Hoffman,The Graduate
1978,Actress in a Supporting Role,0,Dyan Cannon,Heaven Can Wait
1969,Actress in a Supporting Role,0,Dyan Cannon,Bob & Carol & Ted & Alice
1962,Actor in a Supporting Role,1,Ed Begley,Sweet Bird of Youth
2002,Actor in a Supporting Role,0,Ed Harris,The Hours
2000,Actor in a Leading Role,0,Ed Harris,Pollock
1998,Actor in a Supporting Role,0,Ed Harris,The Truman Show
1995,Actor in a Supporting Role,0,Ed Harris,Apollo 13
1959,Actor in a Supporting Role,0,Ed Wynn,The Diary of Anne Frank
1972,Actor in a Supporting Role,0,Eddie Albert,The Heartbreak Kid
1953,Actor in a Supporting Role,0,Eddie Albert,Roman Holiday
2006,Actor in a Supporting Role,0,Eddie Murphy,Dreamgirls
2015,Actor in a Leading Role,0,Eddie Redmayne,The Danish Girl
2014,Actor in a Leading Role,1,Eddie Redmayne,The Theory of Everything
1964,Actor in a Supporting Role,0,Edmond O'Brien,Seven Days in May
1954,Actor in a Supporting Role,1,Edmond O'Brien,The Barefoot Contessa
1950,Actor in a Supporting Role,0,Edmund Gwenn,Mister 880
1947,Actor in a Supporting Role,1,Edmund Gwenn,Miracle on 34th Street
1939,Actress in a Supporting Role,0,Edna May Oliver,Drums along the Mohawk
1988,Actor in a Leading Role,0,Edward James Olmos,Stand and Deliver
2014,Actor in a Supporting Role,0,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance)
1998,Actor in a Leading Role,0,Edward Norton,American History X
1996,Actor in a Supporting Role,0,Edward Norton,Primal Fear
1980,Actress in a Supporting Role,0,Eileen Brennan,Private Benjamin
1972,Actress in a Supporting Role,1,Eileen Heckart,Butterflies Are Free
1956,Actress in a Supporting Role,0,Eileen Heckart,The Bad Seed
1955,Actress in a Leading Role,0,Eleanor Parker,Interrupted Melody
1951,Actress in a Leading Role,0,Eleanor Parker,Detective Story
1950,Actress in a Leading Role,0,Eleanor Parker,Caged
1935,Actress in a Leading Role,0,Elisabeth Bergner,Escape Me Never
1995,Actress in a Leading Role,0,Elisabeth Shue,Leaving Las Vegas
1965,Actress in a Leading Role,0,Elizabeth Hartman,A Patch of Blue
1981,Actress in a Supporting Role,0,Elizabeth McGovern,Ragtime
1966,Actress in a Leading Role,1,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1960,Actress in a Leading Role,1,Elizabeth Taylor,Butterfield 8
